Date,Total Time [min],Reading Speed [cpm]
09/25/18,16,64.125
09/26/18,35,70.7894736842
09/28/18,57,77.4545454545
09/29/18,79,56.3636363636
09/30/18,101,53.0454545455
10/01/18,122,60.9047619048
10/02/18,144,39.6818181818
10/03/18,167,74
10/04/18,189,75.6818181818
10/05/18,212,60.652173913
10/06/18,235,56.1304347826
10/07/18,256,49.3333333333
10/08/18,277,55.8095238095
10/09/18,300,69.652173913
10/10/18,321,66.2380952381
10/11/18,343,79.0454545455
10/12/18,364,54.8571428571
10/13/18,384,50.3
10/15/18,405,55
10/16/18,426,46.5714285714
10/17/18,447,56.2857142857
10/18/18,468,72.5238095238
10/19/18,490,60.9090909091
10/20/18,512,49.8636363636
10/21/18,532,55.1
10/22/18,552,47.65
10/23/18,575,63.1304347826
10/24/18,596,44.8571428571
10/25/18,618,56.6818181818
10/26/18,636,65
10/28/18,656,59.3
10/29/18,676,76.2
10/30/18,698,59.3636363636
10/31/18,718,47.55
11/01/18,738,60.4
11/02/18,761,76.5652173913
11/03/18,784,59.6956521739
11/04/18,806,38.4090909091
11/05/18,829,54.8695652174
11/06/18,850,63.2857142857
11/07/18,873,72.0434782609
11/08/18,895,63.1818181818
11/09/18,918,78
11/10/18,939,65.6666666667
11/11/18,962,77.6956521739
11/12/18,984,63.1818181818
11/13/18,1007,63.9565217391
11/14/18,1030,82.4782608696
11/15/18,1051,80
11/16/18,1067,66.625
11/17/18,1090,66.9565217391
11/18/18,1113,53.9130434783
11/19/18,1136,48
11/20/18,1155,79.4736842105
11/21/18,1176,70.8571428571
11/22/18,1199,62.3043478261
11/23/18,1221,53.6818181818
11/24/18,1240,57.1578947368
11/25/18,1260,65.2
11/26/18,1282,53.9090909091
11/27/18,1304,68.3636363636
11/28/18,1326,49.7727272727
11/29/18,1347,62
11/30/18,1368,52.8571428571
12/04/18,1391,50.4347826087
12/05/18,1413,56.2272727273
12/06/18,1434,61.9523809524
12/07/18,1456,59.8181818182
12/08/18,1478,67.0909090909
12/09/18,1496,59.4444444444
12/10/18,1514,64.3333333333
12/11/18,1534,61.65
